locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPGKPABH_00072	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
OPGKPABH_00073	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
OPGKPABH_00074	CDS	1008				hypothetical protein
OPGKPABH_00075	CDS	879	ubiV		COG0826	Ubiquinone biosynthesis protein UbiV
OPGKPABH_00076	CDS	996	ubiU		COG0826	Ubiquinone biosynthesis protein UbiU
OPGKPABH_00077	CDS	525	ubiT			Ubiquinone biosynthesis accessory factor UbiT
OPGKPABH_00078	CDS	504				hypothetical protein
OPGKPABH_00079	CDS	318				hypothetical protein
OPGKPABH_00080	CDS	444				hypothetical protein
OPGKPABH_00081	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
OPGKPABH_00082	CDS	636				hypothetical protein
OPGKPABH_00083	CDS	576	dolP			Outer membrane lipoprotein DolP
OPGKPABH_00084	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
OPGKPABH_00085	CDS	396				hypothetical protein
OPGKPABH_00086	CDS	2043	lpoA		COG3107	Penicillin-binding protein activator LpoA
OPGKPABH_00087	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
OPGKPABH_00088	CDS	774	srlR_1		COG1349	Glucitol operon repressor
OPGKPABH_00089	CDS	1044	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
OPGKPABH_00090	CDS	1374	gatC_1		COG3775	PTS system galactitol-specific EIIC component
OPGKPABH_00091	CDS	285	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
OPGKPABH_00092	CDS	465	gatA		COG1762	PTS system galactitol-specific EIIA component
OPGKPABH_00093	CDS	1272	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
OPGKPABH_00094	CDS	807				hypothetical protein
OPGKPABH_00095	CDS	1428	fruA_1		COG1299	PTS system fructose-specific EIIABC component
OPGKPABH_00096	CDS	915	tagK	2.7.1.234	COG1105	D-tagatose-1-phosphate kinase
OPGKPABH_00097	CDS	855	gatY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
OPGKPABH_00098	CDS	834				hypothetical protein
OPGKPABH_00099	CDS	948		2.7.1.101	COG0524	Tagatose kinase
OPGKPABH_00100	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
OPGKPABH_00101	CDS	141				hypothetical protein
OPGKPABH_00102	CDS	771	garL	4.1.2.20		5-keto-4-deoxy-D-glucarate aldolase
OPGKPABH_00103	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
OPGKPABH_00104	CDS	1146	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
OPGKPABH_00105	CDS	939	tsaR			HTH-type transcriptional regulator TsaR
OPGKPABH_00106	CDS	990	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
OPGKPABH_00107	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
OPGKPABH_00108	CDS	1209	tdcD	2.7.2.15		Propionate kinase
OPGKPABH_00109	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
OPGKPABH_00110	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
OPGKPABH_00111	CDS	1332	dlsT		COG0814	putative serine transporter
OPGKPABH_00112	CDS	1311				hypothetical protein
OPGKPABH_00113	CDS	165				hypothetical protein
OPGKPABH_00114	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
OPGKPABH_00115	CDS	897	yhaJ_1		COG0583	HTH-type transcriptional regulator YhaJ
OPGKPABH_00116	CDS	366	yhaH		COG3152	Inner membrane protein YhaH
OPGKPABH_00117	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
OPGKPABH_00118	CDS	486	yqjF		COG2259	Inner membrane protein YqjF
OPGKPABH_00119	CDS	300				hypothetical protein
OPGKPABH_00120	CDS	399	yqjE		COG5393	Inner membrane protein YqjE
OPGKPABH_00121	CDS	306	yqjD		COG4575	putative protein YqjD
OPGKPABH_00122	CDS	369	yqjC		COG1422	Protein YqjC
OPGKPABH_00123	CDS	384	mzrA			Modulator protein MzrA
OPGKPABH_00124	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
OPGKPABH_00125	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
OPGKPABH_00126	CDS	969	alx		COG0861	Putative membrane-bound redox modulator Alx
OPGKPABH_00127	CDS	999	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
OPGKPABH_00128	CDS	693				hypothetical protein
OPGKPABH_00129	CDS	498	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
OPGKPABH_00130	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
OPGKPABH_00131	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]
OPGKPABH_00132	CDS	1380	patA	2.6.1.82	COG4992	Putrescine aminotransferase
OPGKPABH_00133	CDS	1521	aer		COG0840	Aerotaxis receptor
OPGKPABH_00134	CDS	1566	trg_1		COG0840	Methyl-accepting chemotaxis protein III
OPGKPABH_00135	CDS	645	yqjI		COG1695	Transcriptional regulator YqjI
OPGKPABH_00136	CDS	768	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
OPGKPABH_00137	CDS	1782				hypothetical protein
OPGKPABH_00138	CDS	1038	xerC_1			Tyrosine recombinase XerC
OPGKPABH_00139	CDS	567				hypothetical protein
OPGKPABH_00140	CDS	582				hypothetical protein
OPGKPABH_00141	CDS	222				hypothetical protein
OPGKPABH_00142	CDS	504				hypothetical protein
OPGKPABH_00143	CDS	228				hypothetical protein
OPGKPABH_00144	CDS	195				hypothetical protein
OPGKPABH_00145	CDS	402				hypothetical protein
OPGKPABH_00146	CDS	234				hypothetical protein
OPGKPABH_00147	CDS	861	dam_1	2.1.1.72	COG0338	DNA adenine methylase
OPGKPABH_00148	CDS	2022				hypothetical protein
OPGKPABH_00149	CDS	207				hypothetical protein
OPGKPABH_00150	CDS	270				hypothetical protein
OPGKPABH_00151	CDS	1062				hypothetical protein
OPGKPABH_00152	CDS	1776				hypothetical protein
OPGKPABH_00153	CDS	804				hypothetical protein
OPGKPABH_00154	CDS	1023				hypothetical protein
OPGKPABH_00155	CDS	702				hypothetical protein
OPGKPABH_00156	CDS	504				hypothetical protein
OPGKPABH_00157	CDS	507				hypothetical protein
OPGKPABH_00158	CDS	708				hypothetical protein
OPGKPABH_00159	CDS	1128				hypothetical protein
OPGKPABH_00160	CDS	456				hypothetical protein
OPGKPABH_00161	CDS	294				hypothetical protein
OPGKPABH_00162	CDS	342				hypothetical protein
OPGKPABH_00163	CDS	333				hypothetical protein
OPGKPABH_00164	CDS	258				hypothetical protein
OPGKPABH_00165	CDS	1971				hypothetical protein
OPGKPABH_00166	CDS	330				hypothetical protein
OPGKPABH_00167	CDS	1185				hypothetical protein
OPGKPABH_00168	CDS	588				hypothetical protein
OPGKPABH_00169	CDS	2235				hypothetical protein
OPGKPABH_00170	CDS	555				hypothetical protein
OPGKPABH_00171	CDS	726				hypothetical protein
OPGKPABH_00172	CDS	546				hypothetical protein
OPGKPABH_00173	CDS	1701				hypothetical protein
OPGKPABH_00174	CDS	186				hypothetical protein
OPGKPABH_00175	CDS	765				hypothetical protein
OPGKPABH_00176	tRNA	76				tRNA-Met(cat)
OPGKPABH_00177	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
OPGKPABH_00178	CDS	1983	rpoD		COG0568	RNA polymerase sigma factor RpoD
OPGKPABH_00179	CDS	1746	dnaG	2.7.7.101	COG0358	DNA primase
OPGKPABH_00180	CDS	216	rpsU			Small ribosomal subunit protein bS21
OPGKPABH_00181	CDS	1014	tsaD	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
OPGKPABH_00182	CDS	612	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
OPGKPABH_00183	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
OPGKPABH_00184	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
OPGKPABH_00185	CDS	1242	cca		COG0617	Multifunctional CCA protein
OPGKPABH_00186	CDS	615				hypothetical protein
OPGKPABH_00187	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
OPGKPABH_00188	CDS	2844	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
OPGKPABH_00189	CDS	1434	hldE		COG0615	Bifunctional protein HldE
OPGKPABH_00190	CDS	1680	yqiK		COG2268	Flotillin family inner membrane protein YqiK
OPGKPABH_00191	CDS	621	yqiJ		COG1585	Inner membrane protein YqiJ
OPGKPABH_00192	CDS	204	glgS			Surface composition regulator
OPGKPABH_00193	CDS	297	ubiK			Ubiquinone biosynthesis accessory factor UbiK
OPGKPABH_00194	CDS	654	ribB	4.1.99.12		3,4-dihydroxy-2-butanone 4-phosphate synthase
OPGKPABH_00195	CDS	678	dsbI		COG1495	Protein-disulfide oxidoreductase DsbI
OPGKPABH_00196	CDS	672	dsbL		COG2761	Thiol:disulfide interchange protein DsbL
OPGKPABH_00197	CDS	1797	astA_1	2.8.2.22		Arylsulfate sulfotransferase AssT
OPGKPABH_00198	CDS	177	yqiD			Protein YqiD
OPGKPABH_00199	CDS	774	zupT			Zinc transporter ZupT
OPGKPABH_00200	CDS	789	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
OPGKPABH_00201	CDS	1164	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
OPGKPABH_00202	CDS	672				hypothetical protein
OPGKPABH_00203	CDS	1470	tolC_1			Outer membrane protein TolC
OPGKPABH_00204	CDS	633	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
OPGKPABH_00205	CDS	423				hypothetical protein
OPGKPABH_00206	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OPGKPABH_00207	CDS	582				hypothetical protein
OPGKPABH_00208	CDS	1893	parE			DNA topoisomerase IV subunit B ParE
OPGKPABH_00209	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
OPGKPABH_00210	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
OPGKPABH_00211	CDS	1350	qseC_1	2.7.13.3	COG0642	Sensor protein QseC
OPGKPABH_00212	CDS	660	qseB		COG0745	Transcriptional regulatory protein QseB
OPGKPABH_00213	CDS	393	ygiW_1		COG3111	Protein YgiW
OPGKPABH_00214	CDS	867				putative HTH-type transcriptional regulator
OPGKPABH_00215	CDS	2259	parC			DNA topoisomerase IV subunit A ParC
OPGKPABH_00216	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
OPGKPABH_00217	CDS	1413	ftsP		COG2132	Cell division protein FtsP
OPGKPABH_00218	CDS	1308	dctMQ_1		COG1593	Isethionate TRAP transporter permease protein DctMQ
OPGKPABH_00219	CDS	483				hypothetical protein
OPGKPABH_00220	CDS	984			COG1638	Solute-binding protein
OPGKPABH_00221	CDS	2172				hypothetical protein
OPGKPABH_00222	CDS	195				hypothetical protein
OPGKPABH_00223	CDS	456				hypothetical protein
OPGKPABH_00224	CDS	1455	yflS		COG0471	Putative malate transporter YflS
OPGKPABH_00225	CDS	828	dkgA	1.1.1.-	COG0656	Methylglyoxal reductase DkgA
OPGKPABH_00226	CDS	1164	yqhD	1.1.1.2	COG1979	NADPH-dependent aldehyde reductase YqhD
OPGKPABH_00227	CDS	921	yqhC		COG2207	HTH-type transcriptional regulator YqhC
OPGKPABH_00228	CDS	660	yghB		COG0586	Inner membrane protein YghB
OPGKPABH_00229	CDS	1188	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
OPGKPABH_00230	CDS	138				hypothetical protein
OPGKPABH_00231	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
OPGKPABH_00232	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
OPGKPABH_00233	CDS	885	yghA	1.-.-.-	COG1028	putative oxidoreductase YghA
OPGKPABH_00234	CDS	405				hypothetical protein
OPGKPABH_00235	CDS	411				hypothetical protein
OPGKPABH_00236	CDS	504				hypothetical protein
OPGKPABH_00237	CDS	495				hypothetical protein
OPGKPABH_00238	CDS	1644				hypothetical protein
OPGKPABH_00239	CDS	288				hypothetical protein
OPGKPABH_00240	CDS	1119	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
OPGKPABH_00241	CDS	987	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
OPGKPABH_00242	CDS	1179	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
OPGKPABH_00243	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
OPGKPABH_00244	CDS	495	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
OPGKPABH_00245	CDS	489	hybE		COG1773	Hydrogenase-2 operon protein HybE
OPGKPABH_00246	CDS	342	hybF_1		COG0375	Hydrogenase maturation factor HybF
OPGKPABH_00247	CDS	249	hybG		COG0298	Hydrogenase maturation factor HybG
OPGKPABH_00248	CDS	1053	molA		COG0614	Molybdate-binding protein MolA
OPGKPABH_00249	CDS	711				hypothetical protein
OPGKPABH_00250	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
OPGKPABH_00251	CDS	1857	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
OPGKPABH_00252	CDS	1056				hypothetical protein
OPGKPABH_00253	CDS	1413	uxaC	5.3.1.12		Uronate isomerase
OPGKPABH_00254	CDS	1473	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
OPGKPABH_00255	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
OPGKPABH_00256	CDS	1305	exuT_1		COG2271	Hexuronate transporter
OPGKPABH_00257	CDS	939	mtnU	3.5.1.111	COG0388	2-oxoglutaramate amidase
OPGKPABH_00258	CDS	924	pgdA	3.5.1.-		Peptidoglycan deacetylase
OPGKPABH_00259	CDS	486	hcp1			Protein hcp1
OPGKPABH_00260	CDS	381	iraD		COG3518	Anti-adapter protein IraD
OPGKPABH_00261	CDS	1485	feaB	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
OPGKPABH_00262	CDS	1302	puuB	1.4.3.-	COG0665	Gamma-glutamylputrescine oxidoreductase
OPGKPABH_00263	CDS	375				hypothetical protein
OPGKPABH_00264	CDS	1500	steT		COG0531	Serine/threonine exchanger SteT
OPGKPABH_00265	CDS	558				hypothetical protein
OPGKPABH_00266	CDS	684	malT_1			HTH-type transcriptional regulator MalT
OPGKPABH_00267	CDS	1185	atsB	1.1.98.7		Serine-type anaerobic sulfatase-maturating enzyme
OPGKPABH_00268	CDS	1740	atsA	3.1.6.1		Arylsulfatase
OPGKPABH_00269	CDS	879	hcaR		COG0583	Hca operon transcriptional activator HcaR
OPGKPABH_00270	CDS	843	mcl1	4.1.3.24		L-malyl-CoA/beta-methylmalyl-CoA lyase
OPGKPABH_00271	CDS	528	mch	4.2.1.148	COG2030	Mesaconyl-CoA hydratase
OPGKPABH_00272	CDS	1326		2.3.1.315	COG0427	Succinyl-CoA:cyclohexane-1-carboxylate CoA transferase
OPGKPABH_00273	CDS	381				Virulence protein
OPGKPABH_00274	tRNA	76				tRNA-Phe(gaa)
OPGKPABH_00275	CDS	708				hypothetical protein
OPGKPABH_00276	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
OPGKPABH_00277	CDS	1257	nupG		COG2211	Nucleoside permease NupG
OPGKPABH_00278	CDS	1086	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
OPGKPABH_00279	CDS	276	yggX			putative Fe(2+)-trafficking protein
OPGKPABH_00280	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
OPGKPABH_00281	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
OPGKPABH_00282	CDS	327			COG3171	putative protein
OPGKPABH_00283	CDS	720				hypothetical protein
OPGKPABH_00284	CDS	1047	ansB_1	3.5.1.1	COG0252	L-asparaginase 2
OPGKPABH_00285	CDS	1008				hypothetical protein
OPGKPABH_00286	CDS	1137	hemW_1		COG0635	Heme chaperone HemW
OPGKPABH_00287	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
OPGKPABH_00288	CDS	291				hypothetical protein
OPGKPABH_00289	CDS	567				hypothetical protein
OPGKPABH_00290	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
OPGKPABH_00291	CDS	981	yggR		COG2805	putative protein YggR
OPGKPABH_00292	CDS	687				hypothetical protein
OPGKPABH_00293	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
OPGKPABH_00294	CDS	564				hypothetical protein
OPGKPABH_00295	CDS	948	gshB	6.3.2.3		Glutathione synthetase
OPGKPABH_00296	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
OPGKPABH_00297	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
OPGKPABH_00298	CDS	456	sprT			Protein SprT
OPGKPABH_00299	CDS	1395	galP		COG2814	Galactose-proton symporter
OPGKPABH_00300	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
OPGKPABH_00301	CDS	300				hypothetical protein
OPGKPABH_00302	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
OPGKPABH_00303	CDS	732				hypothetical protein
OPGKPABH_00304	CDS	750	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
OPGKPABH_00305	CDS	1473	mtlK	1.1.1.67		Mannitol 2-dehydrogenase
OPGKPABH_00306	CDS	1017	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
OPGKPABH_00307	CDS	1008	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
OPGKPABH_00308	CDS	495	tabA_1		COG2731	Toxin-antitoxin biofilm protein TabA
OPGKPABH_00309	CDS	891	bioH_1	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
OPGKPABH_00310	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
OPGKPABH_00311	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
OPGKPABH_00312	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
OPGKPABH_00313	CDS	657	larO	7.2.2.-	COG1122	Nickel import ATP-binding protein LarO
OPGKPABH_00314	CDS	678	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
OPGKPABH_00315	CDS	708				hypothetical protein
OPGKPABH_00316	CDS	579				hypothetical protein
OPGKPABH_00317	CDS	426				hypothetical protein
OPGKPABH_00318	CDS	1047	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
OPGKPABH_00319	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
OPGKPABH_00320	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
OPGKPABH_00321	CDS	861	mscS_1		COG0668	Small-conductance mechanosensitive channel
OPGKPABH_00322	CDS	636	argO		COG1279	Arginine exporter protein ArgO
OPGKPABH_00323	CDS	747				26 kDa periplasmic immunogenic protein
OPGKPABH_00324	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
OPGKPABH_00325	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
OPGKPABH_00326	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
OPGKPABH_00327	CDS	549	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
OPGKPABH_00328	CDS	330	zapA		COG3027	Cell division protein ZapA
OPGKPABH_00329	CDS	579				hypothetical protein
OPGKPABH_00330	CDS	1317	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
OPGKPABH_00331	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
OPGKPABH_00332	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
OPGKPABH_00333	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
OPGKPABH_00334	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
OPGKPABH_00335	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
OPGKPABH_00336	CDS	894				hypothetical protein
OPGKPABH_00337	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
OPGKPABH_00338	CDS	312	yqfB	3.5.1.135	COG3097	N(4)-acetylcytidine amidohydrolase
OPGKPABH_00339	CDS	660				hypothetical protein
OPGKPABH_00340	CDS	192				hypothetical protein
OPGKPABH_00341	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
