#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	305514	308645	+	acrB	1-3132/3150	========/======	2/2	99.40	85.57	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	435291	435755	-	golS	1-465/465	===============	0/0	100.00	99.14	card	AE006468.2:400860-401325	GolS is a regulator activated by the presence of golD and promotes the expression of the MdsABC efflux pump.	carbapenem;cephalosporin;monobactam;penicillin_beta-lactam;phenicol
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	438332	439558	+	mdsA	1-1227/1227	===============	0/0	100.00	99.02	card	AE006468.2:398284-397057	MdsA is the membrane fusion protein of the multidrug and metal efflux complex MdsABC.	carbapenem;cephalosporin;monobactam;penicillin_beta-lactam;phenicol
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	439555	442722	+	mdsB	1-3168/3168	===============	0/0	100.00	99.12	card	AE006468.2:397061-393893	MdsB is the inner membrane transporter of the multidrug and metal efflux complex MdsABC. mdsB corresponds to 1 locus in Pseudomonas aeruginosa PAO1 (gene name: mexQ) and 2 loci in Pseudomonas aeruginosa LESB58.	carbapenem;cephalosporin;monobactam;penicillin_beta-lactam;phenicol
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	442685	444196	+	mdsC	1-1512/1512	===============	0/0	100.00	98.81	card	AE006468.2:393931-392419	MdsC is the outer membrane channel of the multidrug and metal efflux complex MdsABC.	carbapenem;cephalosporin;monobactam;penicillin_beta-lactam;phenicol
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_3_length_432654_cov_72.623833	388322	388954	-	CRP	1-633/633	===============	0/0	100.00	87.99	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penicillin_beta-lactam
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_4_length_394240_cov_53.010059	5192	5605	-	H-NS	1-414/414	===============	0/0	100.00	89.37	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;fluoroquinolone;macrolide;penicillin_beta-lactam;tetracycline
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_4_length_394240_cov_53.010059	144943	145380	-	AAC(6')-Iy	1-438/438	===============	0/0	100.00	98.17	card	AF144880.1:3541-3979	AAC(6')-Iy is a chromosomal-encoded aminoglycoside acetyltransferase in S. enteritidis and S. enterica. Regulatory mutation required to increase expression of this chromosomally-encoded gene for resistance. In the specific system aminoglycoside resistance was due to a transcriptional fusion secondary to a chromosomal deletion in which the downstream aac(6')-Iy gene was placed under the control of the upstream nmpC promoter.	aminoglycoside
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_4_length_394240_cov_53.010059	255189	255538	+	marA	1-350/384	==============.	0/0	91.15	88.86	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;monobactam;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_5_length_357100_cov_56.458424	294231	295320	+	OmpA	18-1125/1125	========/======	4/18	96.89	83.21	card	FO834906.1:2175099-2173974	OmpA is a porin that confers resistance to beta-lactam antibiotics.	peptide
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_6_length_327454_cov_55.931037	77097	77819	-	sdiA	1-723/723	===============	0/0	100.00	99.03	card	AE006468.2:2040377-2039654	SdiA is a cell division regulator that is also a positive regulator of AcrAB only when it's expressed from a plasmid. When the sdiA gene is on the chromosome it has no effect on expression of acrAB.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_6_length_327454_cov_55.931037	131074	132498	-	MdtK	1-1425/1425	===============	0/0	100.00	99.86	card	CP014358.1:2162750-2161325	A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin doxorubicin and acriflavine.	fluoroquinolone
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_6_length_327454_cov_55.931037	255193	258314	+	mdtB	1-3122/3123	===============	0/0	99.97	81.26	card	U00096.1:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_6_length_327454_cov_55.931037	258322	261369	+	mdtC	7-3054/3078	===============	0/0	99.03	81.33	card	U00096.1:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
